,Unnamed: 0,日期,最高温度,最低温度,天气,风向,风力,aqi,aqiinfo,aqilevel,city
0,2018-01-01,2018-01-01,-13,-24,阵雪~多云,北风,1,41.0,优,1.0,大兴安岭
1,2018-01-02,2018-01-02,-16,-32,多云,西北风,1,27.0,优,1.0,大兴安岭
2,2018-01-03,2018-01-03,-10,-23,多云,北风,3,33.0,优,1.0,大兴安岭
3,2018-01-04,2018-01-04,-9,-31,多云,北风,3,26.0,优,1.0,大兴安岭
4,2018-01-05,2018-01-05,-12,-31,多云,西北风,3,29.0,优,1.0,大兴安岭
5,2018-01-06,2018-01-06,-8,-22,多云,西北风,1,34.0,优,1.0,大兴安岭
6,2018-01-07,2018-01-07,-14,-28,阵雪~多云,西北风,1,37.0,优,1.0,大兴安岭
7,2018-01-08,2018-01-08,-12,-26,多云,北风,3,58.0,良,2.0,大兴安岭
8,2018-01-09,2018-01-09,-18,-34,多云,北风,3,51.0,良,2.0,大兴安岭
9,2018-01-10,2018-01-10,-20,-38,多云,西北风,4,34.0,优,1.0,大兴安岭
10,2018-01-11,2018-01-11,-20,-35,晴~多云,西北风,1,45.0,优,1.0,大兴安岭
11,2018-01-12,2018-01-12,-19,-38,多云,西北风,1,52.0,良,2.0,大兴安岭
12,2018-01-13,2018-01-13,-20,-26,阵雪,西风,3,79.0,良,2.0,大兴安岭
13,2018-01-14,2018-01-14,-13,-30,多云,北风,3,136.0,轻度污染,3.0,大兴安岭
14,2018-01-15,2018-01-15,-19,-34,多云,西风,3,84.0,良,2.0,大兴安岭
15,2018-01-16,2018-01-16,-17,-32,多云,西北风,3,72.0,良,2.0,大兴安岭
16,2018-01-17,2018-01-17,-24,-38,多云,西北风,3,114.0,轻度污染,3.0,大兴安岭
17,2018-01-18,2018-01-18,-18,-29,阵雪,西风,1,54.0,良,2.0,大兴安岭
18,2018-01-19,2018-01-19,-22,-36,小雪~阵雪,西北风,3,60.0,良,2.0,大兴安岭
19,2018-01-20,2018-01-20,-27,-43,多云,西北风,3,31.0,优,1.0,大兴安岭
20,2018-01-21,2018-01-21,-30,-41,多云,西北风,3,26.0,优,1.0,大兴安岭
21,2018-01-22,2018-01-22,-30,-42,多云,西北风,3,34.0,优,1.0,大兴安岭
22,2018-01-23,2018-01-23,-25,-45,多云,西北风,3,50.0,优,1.0,大兴安岭
23,2018-01-24,2018-01-24,-27,-45,多云,西北风,3,55.0,良,2.0,大兴安岭
24,2018-01-25,2018-01-25,-24,-35,多云,西北风,3,37.0,优,1.0,大兴安岭
25,2018-01-26,2018-01-26,-25,-44,晴~多云,西北风,3,28.0,优,1.0,大兴安岭
26,2018-01-27,2018-01-27,-19,-37,多云,西北风,3,27.0,优,1.0,大兴安岭
27,2018-01-28,2018-01-28,-21,-42,多云~晴,西北风,3,30.0,优,1.0,大兴安岭
28,2018-01-29,2018-01-29,-17,-38,多云,西北风,3,42.0,优,1.0,大兴安岭
29,2018-01-30,2018-01-30,-15,-35,多云,西北风,3,50.0,优,1.0,大兴安岭
30,2018-01-31,2018-01-31,-15,-34,多云~晴,西北风,3,63.0,良,2.0,大兴安岭
31,2018-01-06,2018-01-06,-19,-34,,,,,,,
32,2018-01-23,2018-01-23,,,,,,,,,
33,2018-01-01,2018-01-01,-14,-18,阵雪~阴,东北风,1,32.0,优,1.0,黑河
34,2018-01-02,2018-01-02,-11,-21,阵雪~多云,西北风,1,25.0,优,1.0,黑河
35,2018-01-03,2018-01-03,-10,-19,多云~晴,西北风,1,26.0,优,1.0,黑河
