城市,日期,aqi,pm2.5,pm10
上海,20230301,90,67,73
上海,20230301,90,67,73
上海,20230302,69,43,64
上海,20230303,37,14,37
上海,20230304,49,26,51
上海,20230305,48,28,48
上海,20230306,62,39,73
上海,20230307,64,36,77
上海,20230308,64,40,76
上海,20230309,98,72,104
上海,20230310,104,70,103
上海,20230311,55,29,61
上海,20230312,62,29,69
上海,20230313,51,14,53
上海,20230314,50,15,53
上海,20230315,51,27,61
上海,20230316,66,16,82
上海,20230317,28,9,21
上海,20230318,38,21,37
上海,20230319,43,20,45
上海,20230320,47,30,44
上海,20230321,27,17,18
上海,20230322,48,34,39
上海,20230323,98,33,121
上海,20230324,83,26,116
上海,20230325,49,17,50
上海,20230326,61,26,74
上海,20230327,78,37,107
上海,20230328,66,38,83
上海,20230329,58,29,65
上海,20230330,70,51,68
上海,20230331,45,27,46
南宁,20230301,55,33,59
南宁,20230302,85,63,89
南宁,20230303,82,59,87
南宁,20230304,54,35,56
南宁,20230305,85,62,89
南宁,20230306,68,43,73
南宁,20230307,53,28,57
南宁,20230308,54,31,57
南宁,20230309,56,38,58
南宁,20230310,67,44,74
南宁,20230311,54,33,58
南宁,20230312,63,37,76
南宁,20230313,90,27,130
南宁,20230314,81,44,113
南宁,20230315,61,40,67
南宁,20230316,48,28,49
南宁,20230317,42,25,42
南宁,20230318,49,28,52
南宁,20230319,50,30,49
南宁,20230320,34,18,34
南宁,20230321,41,26,41
南宁,20230322,60,42,62
南宁,20230323,65,46,73
南宁,20230324,51,33,53
南宁,20230325,29,17,29
南宁,20230326,28,16,27
南宁,20230327,22,13,21
南宁,20230328,33,22,31
南宁,20230329,25,16,23
南宁,20230330,36,23,36
南宁,20230331,49,32,49
南宁,20230301,55,33,59
南宁,20230301,55,33,59
南宁,20230302,85,63,89
南宁,20230303,82,59,87
南宁,20230304,54,35,56
南宁,20230305,85,62,89
南宁,20230306,68,43,73
南宁,20230307,53,28,57
南宁,20230308,54,31,57
南宁,20230309,56,38,58
南宁,20230310,67,44,74
南宁,20230311,54,33,58
南宁,20230312,63,37,76
南宁,20230313,90,27,130
南宁,20230314,81,44,113
南宁,20230315,61,40,67
南宁,20230316,48,28,49
南宁,20230317,42,25,42
南宁,20230318,49,28,52
南宁,20230319,50,30,49
南宁,20230320,34,18,34
南宁,20230321,41,26,41
南宁,20230322,60,42,62
南宁,20230323,65,46,73
南宁,20230324,51,33,53
南宁,20230325,29,17,29
南宁,20230326,28,16,27
南宁,20230327,22,13,21
南宁,20230328,33,22,31
南宁,20230329,25,16,23
南宁,20230330,36,23,36
南宁,20230331,49,32,49
南宁,20220401,20,6,14
南宁,20220402,25,10,19
南宁,20220403,43,22,43
南宁,20220404,58,38,63
南宁,20220405,66,41,72
南宁,20220406,73,51,80
南宁,20220407,62,39,73
南宁,20220408,80,54,95
南宁,20220409,72,47,80
南宁,20220410,59,32,68
南宁,20220411,58,34,66
南宁,20220412,48,24,48
南宁,20220413,46,24,45
南宁,20220414,43,23,44
南宁,20220415,61,41,65
南宁,20220416,30,20,26
南宁,20220417,12,7,11
南宁,20220418,14,7,13
南宁,20220419,40,20,41
南宁,20220420,51,31,54
南宁,20220421,56,37,58
南宁,20220422,45,26,43
南宁,20220423,40,23,40
南宁,20220424,33,18,33
南宁,20220425,34,18,34
南宁,20220426,41,24,41
南宁,20220427,47,30,49
南宁,20220428,48,30,49
南宁,20220429,46,27,47
南宁,20220430,40,25,39
上海,20220401,34,18,31
上海,20220402,35,18,29
上海,20220403,32,14,20
上海,20220404,36,19,27
上海,20220405,35,20,35
上海,20220406,52,34,51
上海,20220407,64,36,56
上海,20220408,50,26,50
上海,20220409,51,22,48
上海,20220410,45,24,45
上海,20220411,54,29,48
上海,20220412,36,21,33
上海,20220413,25,13,15
上海,20220414,21,9,10
上海,20220415,34,14,26
上海,20220416,47,32,48
上海,20220417,37,19,33
上海,20220418,37,16,31
上海,20220419,55,38,55
上海,20220420,71,43,70
上海,20220421,66,45,57
上海,20220422,53,36,47
上海,20220423,33,16,17
上海,20220424,27,9,8
上海,20220425,28,18,19
上海,20220426,26,16,18
上海,20220427,56,16,65
上海,20220428,71,22,94
上海,20220429,33,12,21
上海,20220430,33,17,25
广州,20220401,20,6,15
广州,20220402,24,8,15
广州,20220403,37,19,35
广州,20220404,58,29,66
广州,20220405,76,38,80
广州,20220406,76,43,83
广州,20220407,57,32,62
广州,20220408,69,33,67
广州,20220409,68,27,63
广州,20220410,66,26,59
广州,20220411,49,23,50
广州,20220412,38,16,37
广州,20220413,36,16,36
广州,20220414,30,11,24
广州,20220415,41,19,36
广州,20220416,42,19,42
广州,20220417,28,14,28
广州,20220418,17,9,16
广州,20220419,14,8,12
广州,20220420,37,25,38
广州,20220421,77,41,74
广州,20220422,38,20,38
广州,20220423,33,15,33
广州,20220424,23,12,23
广州,20220425,25,13,25
广州,20220426,34,18,34
广州,20220427,34,18,34
广州,20220428,27,15,27
广州,20220429,39,21,39
广州,20220430,46,26,47
唐山,20220401,51,31,51
唐山,20220402,59,38,63
唐山,20220403,82,58,85
唐山,20220404,91,66,102
唐山,20220405,126,47,170
