,city,year,month,day
0,0,2022,1,1
1,0,2022,1,2
2,0,2022,1,3
3,0,2022,1,4
4,0,2022,1,5
5,0,2022,1,6
6,0,2022,1,7
7,0,2022,1,8
8,0,2022,1,9
9,0,2022,1,10
10,0,2022,1,11
11,0,2022,1,12
12,0,2022,1,13
13,0,2022,1,14
14,0,2022,1,15
15,0,2022,1,16
16,0,2022,1,17
17,0,2022,1,18
18,0,2022,1,19
19,0,2022,1,20
20,0,2022,1,21
21,0,2022,1,22
22,0,2022,1,23
23,0,2022,1,24
24,0,2022,1,25
25,0,2022,1,26
26,0,2022,1,27
27,0,2022,1,28
28,0,2022,1,29
29,0,2022,1,30
30,0,2022,1,31
31,0,2022,2,1
32,0,2022,2,2
33,0,2022,2,3
34,0,2022,2,4
35,0,2022,2,5
36,0,2022,2,6
37,0,2022,2,7
38,0,2022,2,8
39,0,2022,2,9
40,0,2022,2,10
41,0,2022,2,11
42,0,2022,2,12
43,0,2022,2,13
44,0,2022,2,14
45,0,2022,2,15
46,0,2022,2,16
47,0,2022,2,17
48,0,2022,2,18
49,0,2022,2,19
50,0,2022,2,20
51,0,2022,2,21
52,0,2022,2,22
53,0,2022,2,23
54,0,2022,2,24
55,0,2022,2,25
56,0,2022,2,26
57,0,2022,2,27
58,0,2022,2,28
59,0,2022,3,1
60,0,2022,3,2
61,0,2022,3,3
62,0,2022,3,4
63,0,2022,3,5
64,0,2022,3,6
65,0,2022,3,7
66,0,2022,3,8
67,0,2022,3,9
68,0,2022,3,10
69,0,2022,3,11
70,0,2022,3,12
71,0,2022,3,13
72,0,2022,3,14
73,0,2022,3,15
74,0,2022,3,16
75,0,2022,3,17
76,0,2022,3,18
77,0,2022,3,19
78,0,2022,3,20
79,0,2022,3,21
80,0,2022,3,22
81,0,2022,3,23
82,0,2022,3,24
83,0,2022,3,25
84,0,2022,3,26
85,0,2022,3,27
86,0,2022,3,28
87,0,2022,3,29
88,0,2022,3,30
89,0,2022,3,31
90,0,2022,4,1
91,0,2022,4,2
92,0,2022,4,3
93,0,2022,4,4
94,0,2022,4,5
95,0,2022,4,6
96,0,2022,4,7
97,0,2022,4,8
98,0,2022,4,9
99,0,2022,4,10
100,0,2022,4,11
101,0,2022,4,12
102,0,2022,4,13
103,0,2022,4,14
104,0,2022,4,15
105,0,2022,4,16
106,0,2022,4,17
107,0,2022,4,18
108,0,2022,4,19
109,0,2022,4,20
110,0,2022,4,21
111,0,2022,4,22
112,0,2022,4,23
113,0,2022,4,24
114,0,2022,4,25
115,0,2022,4,26
116,0,2022,4,27
117,0,2022,4,28
118,0,2022,4,29
119,0,2022,4,30
120,0,2022,5,1
121,0,2022,5,2
122,0,2022,5,3
123,0,2022,5,4
124,0,2022,5,5
125,0,2022,5,6
126,0,2022,5,7
127,0,2022,5,8
128,0,2022,5,9
129,0,2022,5,10
130,0,2022,5,11
131,0,2022,5,12
132,0,2022,5,13
133,0,2022,5,14
134,0,2022,5,15
135,0,2022,5,16
136,0,2022,5,17
137,0,2022,5,18
138,0,2022,5,19
139,0,2022,5,20
