,aqi
0,34
1,95
2,90
3,68
4,26
5,28
6,41
7,45
8,80
9,148
10,82
11,58
12,79
13,33
14,92
15,112
16,36
17,52
18,51
19,47
20,23
21,28
22,23
23,70
24,108
25,62
26,49
27,27
28,33
29,34
30,81
31,112
32,37
33,24
34,37
35,64
36,26
37,24
38,21
39,22
40,35
41,52
42,55
43,59
44,54
45,70
46,40
47,27
48,23
49,37
50,35
51,42
52,71
53,43
54,30
55,31
56,56
57,69
58,68
59,115
60,82
61,78
62,51
63,93
64,41
65,42
66,64
67,67
68,65
69,61
70,49
71,50
72,66
73,57
74,54
75,19
76,38
77,71
78,25
79,27
80,32
81,34
82,30
83,26
84,40
85,61
86,35
87,34
88,39
89,44
90,34
91,35
92,32
93,36
94,35
95,52
96,64
97,50
98,51
99,45
100,54
101,36
102,25
103,21
104,34
105,47
106,37
107,37
108,55
109,71
110,66
111,53
112,33
113,27
114,28
115,26
116,56
117,71
118,33
119,33
120,36
121,56
122,76
123,67
124,35
125,32
126,25
127,31
128,31
129,29
130,28
131,29
132,33
133,38
134,36
135,54
136,74
137,47
138,40
139,36
140,31
141,38
142,34
143,34
144,29
145,35
146,63
147,36
148,27
149,51
150,30
151,46
152,57
153,27
154,27
155,26
156,44
157,45
158,29
159,38
160,25
161,32
162,32
163,23
164,57
165,84
166,66
167,59
168,33
169,41
170,20
171,25
172,39
173,30
174,25
175,36
176,31
177,25
178,26
179,27
180,21
181,19
182,15
183,17
184,17
185,33
186,34
187,38
188,41
189,49
190,59
191,31
192,54
193,63
194,63
195,46
196,43
197,51
198,33
199,31
200,41
201,29
202,72
203,47
204,50
205,42
206,47
207,55
208,42
209,16
210,19
211,27
212,33
213,45
214,24
215,26
216,43
217,42
218,33
219,24
220,29
221,37
222,51
223,53
224,57
225,46
226,41
227,40
228,40
229,39
230,35
231,41
232,36
233,46
234,58
235,33
236,29
237,31
238,29
239,27
240,35
241,44
242,24
243,33
244,28
245,18
246,18
247,21
248,59
249,70
250,40
251,31
252,31
253,30
254,27
255,19
256,16
257,19
258,44
259,53
260,37
261,55
262,41
263,31
264,36
265,50
266,29
267,30
268,35
269,28
270,26
271,27
272,25
273,37
274,29
275,34
276,28
277,26
278,20
279,23
280,27
281,41
282,47
283,38
284,29
285,29
286,35
287,37
288,45
289,56
290,32
291,29
292,32
293,39
294,42
295,41
296,32
297,29
298,31
299,21
300,35
301,31
302,36
303,30
304,37
305,53
306,38
307,36
308,41
309,31
310,33
311,32
312,41
313,51
314,36
315,29
316,30
317,43
318,80
319,91
320,23
321,29
322,44
323,65
324,58
325,47
326,28
327,42
328,44
329,66
330,40
331,29
332,27
333,27
334,33
335,47
336,42
337,31
338,22
339,37
340,53
341,57
342,44
343,71
344,53
345,49
346,99
347,78
348,56
349,36
350,47
351,58
352,54
353,46
354,68
355,77
356,38
357,50
358,46
359,61
360,95
361,105
362,46
363,44
364,92
365,111
366,81
367,27
368,50
369,55
370,103
371,130
372,77
373,85
374,34
375,39
376,28
377,28
378,21
379,31
380,48
381,59
382,72
383,75
384,88
385,61
386,22
387,30
388,45
389,29
390,55
391,58
392,56
393,59
394,65
395,54
396,67
397,46
398,51
399,32
400,48
401,33
402,33
403,60
404,34
405,28
406,24
407,28
408,45
409,36
410,41
411,44
412,44
413,72
414,115
415,60
416,34
417,30
418,24
419,55
420,56
421,36
422,37
423,42
424,90
425,90
426,69
427,37
428,49
429,48
430,62
431,64
432,64
433,98
434,104
435,55
436,62
437,51
438,50
439,51
440,66
441,28
442,38
443,43
444,47
445,27
446,48
447,98
448,83
449,49
450,61
451,78
452,66
453,58
454,70
455,45
456,54
457,53
458,61
459,110
460,132
461,133
462,30
463,36
464,83
465,64
466,102
467,126
468,108
469,74
470,80
471,61
472,97
473,134
474,111
475,62
476,116
477,73
478,41
479,43
480,21
481,83
482,118
483,73
484,63
485,42
486,39
487,69
488,105
489,97
490,41
491,39
492,54
493,48
494,35
495,26
496,28
497,40
498,46
499,57
500,60
501,85
502,76
503,88
504,73
505,40
506,34
507,49
508,39
509,49
510,70
511,55
512,61
513,59
514,66
515,74
516,73
517,97
518,114
519,103
520,79
521,110
522,59
523,52
524,62
525,71
526,66
527,76
528,80
529,89
530,115
531,62
532,75
533,29
534,43
535,67
536,37
537,22
538,30
539,41
540,45
541,23
542,54
543,69
544,53
545,50
546,62
547,51
548,38
549,46
550,50
551,48
552,55
553,55
554,62
555,71
556,66
557,64
558,73
559,73
560,30
561,29
562,33
563,55
564,56
565,55
