,pm10
0,34
1,78
2,69
3,47
4,17
5,25
6,35
7,37
8,51
9,87
10,43
11,49
12,58
13,30
14,56
15,73
16,36
17,45
18,41
19,36
20,22
21,17
22,10
23,55
24,81
25,42
26,37
27,25
28,27
29,28
30,68
31,108
32,32
33,16
34,30
35,58
36,24
37,8
38,11
39,19
40,28
41,44
42,54
43,56
44,54
45,67
46,40
47,26
48,21
49,33
50,35
51,43
52,73
53,42
54,29
55,29
56,59
57,81
58,76
59,112
60,96
61,101
62,50
63,121
64,42
65,46
66,75
67,78
68,80
69,72
70,50
71,53
72,72
73,63
74,59
75,13
76,32
77,67
78,20
79,8
80,26
81,34
82,28
83,17
84,36
85,76
86,33
87,33
88,41
89,43
90,31
91,29
92,20
93,27
94,35
95,51
96,56
97,50
98,48
99,45
100,48
101,33
102,15
103,10
104,26
105,48
106,33
107,31
108,55
109,70
110,57
111,47
112,17
113,8
114,19
115,18
116,65
117,94
118,21
119,25
120,32
121,53
122,66
123,54
124,28
125,20
126,13
127,24
128,22
129,25
130,25
131,17
132,19
133,31
134,33
135,47
136,55
137,34
138,33
139,26
140,18
141,27
142,17
143,11
144,18
145,29
146,46
147,18
148,14
149,40
150,18
151,40
152,42
153,15
154,22
155,17
156,35
157,40
158,23
159,34
160,16
161,20
162,28
163,10
164,44
165,62
166,57
167,49
168,30
169,41
170,13
171,21
172,33
173,30
174,20
175,28
176,29
177,23
178,25
179,26
180,20
181,19
182,15
183,16
184,17
185,32
186,31
187,33
188,35
189,38
190,49
191,25
192,47
193,48
194,48
195,43
196,35
197,44
198,30
199,28
200,35
201,28
202,48
203,41
204,39
205,33
206,38
207,41
208,35
209,16
210,19
211,27
212,31
213,41
214,19
215,21
216,31
217,42
218,26
219,20
220,25
221,30
222,42
223,46
224,48
225,37
226,32
227,35
228,33
229,34
230,28
231,42
232,36
233,41
234,44
235,33
236,29
237,31
238,25
239,26
240,32
241,45
242,18
243,25
244,23
245,14
246,17
247,9
248,57
249,61
250,41
251,27
252,26
253,30
254,26
255,15
256,15
257,12
258,42
259,47
260,34
261,57
262,41
263,31
264,36
265,56
266,28
267,30
268,35
269,22
270,25
271,23
272,24
273,34
274,29
275,34
276,28
277,25
278,14
279,17
280,27
281,38
282,48
283,39
284,28
285,28
286,35
287,37
288,42
289,52
290,32
291,28
292,31
293,39
294,42
295,43
296,32
297,28
298,31
299,18
300,33
301,31
302,36
303,30
304,37
305,54
306,38
307,36
308,41
309,30
310,32
311,32
312,41
313,48
314,29
315,28
316,27
317,42
318,73
319,77
320,10
321,28
322,39
323,49
324,53
325,32
326,26
327,42
328,47
329,67
330,38
331,27
332,22
333,26
334,33
335,50
336,34
337,30
338,20
339,39
340,59
341,64
342,40
343,52
344,46
345,50
346,136
347,105
348,63
349,36
350,54
351,66
352,59
353,46
354,89
355,102
356,38
357,52
358,47
359,58
360,76
361,82
362,40
363,44
364,80
365,93
366,63
367,27
368,46
369,47
370,91
371,131
372,98
373,97
374,34
375,39
376,25
377,17
378,14
379,29
380,49
381,54
382,77
383,98
384,123
385,72
386,15
387,29
388,44
389,27
390,48
391,67
392,62
393,66
394,70
395,52
396,68
397,49
398,53
399,32
400,46
401,21
402,29
403,53
404,31
405,21
406,18
407,17
408,36
409,36
410,41
411,45
412,45
413,76
414,90
415,64
416,34
417,30
418,23
419,45
420,50
421,36
422,35
423,43
424,73
425,73
426,64
427,37
428,51
429,48
430,73
431,77
432,76
433,104
434,103
435,61
436,69
437,53
438,53
439,61
440,82
441,21
442,37
443,45
444,44
445,18
446,39
447,121
448,116
449,50
450,74
451,107
452,83
453,65
454,68
455,46
456,56
457,55
458,72
459,128
460,149
461,146
462,25
463,37
464,90
465,70
466,106
467,123
468,98
469,80
470,78
471,65
472,99
473,139
474,124
475,72
476,126
477,80
478,41
479,40
480,11
481,72
482,104
483,66
484,53
485,41
486,36
487,61
488,93
489,108
490,41
491,33
492,47
493,46
494,35
495,20
496,24
497,34
498,39
499,51
500,54
501,84
502,78
503,92
504,77
505,40
506,32
507,46
508,40
509,51
510,81
511,58
512,68
513,64
514,75
515,98
516,94
517,113
518,141
519,156
520,105
521,170
522,68
523,54
524,74
525,93
526,83
527,93
528,98
529,106
530,148
531,73
532,98
533,21
534,44
535,71
536,33
537,14
538,26
539,41
540,43
541,21
542,54
543,88
544,58
545,52
546,72
547,52
548,38
549,46
550,51
551,48
552,62
553,60
554,69
555,90
556,79
557,74
558,81
559,84
560,30
561,29
562,33
563,59
564,57
565,59
566,72
567,80
568,58
569,52
570,68
571,35
572,20
573,25
574,62
575,78
576,25
577,47
578,60
579,59
580,55
581,52
582,48
583,45
584,55
585,44
586,36
587,43
588,43
589,41
590,37
591,48
592,48
593,53
594,56
595,58
596,69
597,70
598,73
599,50
600,52
601,25
602,47
603,45
604,60
605,71
606,29
607,41
608,36
609,49
610,45
611,32
612,26
613,28
614,60
615,35
616,35
617,51
618,36
619,28
620,25
621,29
622,24
623,38
624,45
625,32
626,47
627,52
628,50
629,37
630,20
631,22
632,15
633,25
634,28
635,26
636,19
637,29
638,17
639,20
640,24
641,23
642,32
643,37
644,15
645,22
646,23
647,24
648,27
649,28
650,34
651,34
652,37
653,38
654,50
655,40
656,22
657,33
658,21
659,16
660,33
661,29
662,29
663,38
664,24
665,32
666,36
667,29
668,27
669,25
670,22
671,42
672,45
673,39
674,36
675,22
676,25
677,33
678,31
679,33
680,37
681,30
682,30
683,30
684,35
685,32
686,30
687,39
688,44
689,36
690,36
691,35
692,36
693,32
694,47
695,39
696,36
697,29
698,45
699,25
700,22
701,52
702,36
703,22
704,20
705,26
706,57
707,72
708,71
709,52
710,33
711,41
712,36
713,20
714,18
715,13
716,32
717,29
718,28
719,46
720,37
721,35
722,50
723,62
724,40
725,45
726,44
727,43
728,35
729,42
730,49
731,54
732,52
733,53
734,25
735,16
736,8
737,30
738,34
739,40
740,32
741,37
742,35
743,36
744,41
745,36
746,44
747,45
748,33
749,37
750,40
751,50
752,70
753,71
754,54
755,47
756,35
757,23
758,37
759,33
760,42
761,48
762,60
763,71
764,53
765,33
766,49
767,62
768,69
769,100
770,51
771,75
772,53
773,39
774,28
775,41
776,56
777,99
778,29
779,37
780,36
781,52
782,48
783,16
784,30
785,45
786,54
787,68
788,62
789,49
790,42
791,34
792,38
793,44
794,56
795,53
796,35
797,57
798,99
799,124
800,151
801,105
802,63
803,80
804,159
805,106
806,96
807,72
808,76
809,62
810,57
811,72
812,128
813,90
814,41
815,54
816,57
817,75
818,105
819,164
820,127
821,95
822,96
823,134
824,111
825,58
826,83
827,104
828,144
829,127
830,94
831,138
832,55
833,65
834,57
835,63
836,18
837,37
838,52
839,56
840,103
841,106
842,143
843,103
844,88
845,40
846,58
847,37
848,63
849,86
850,87
851,70
852,82
853,69
854,110
855,39
856,69
857,90
858,71
859,58
860,44
861,85
862,32
863,29
864,31
865,16
866,34
867,34
868,59
869,65
870,78
871,123
872,99
873,83
874,51
875,51
876,59
877,53
878,70
879,47
880,64
881,80
882,109
883,109
884,100
885,78
886,106
887,117
888,107
889,78
890,86
891,93
892,87
893,76
894,133
895,79
896,80
897,170
898,135
899,20
900,42
901,45
902,69
903,55
904,26
905,128
906,146
907,57
908,111
909,145
910,115
911,66
912,49
913,74
914,60
915,62
