,日期,最高温度,最低温度,天气,风向,风力,aqi,aqiinfo,aqilevel,city
2018-01-01,2018-01-01,-13℃,-24℃,阵雪~多云,北风,1-2级,41,优,1,大兴安岭
2018-01-02,2018-01-02,-16℃,-32℃,多云,西北风,1-2级,27,优,1,大兴安岭
2018-01-03,2018-01-03,-10℃,-23℃,多云,北风,3-4级,33,优,1,大兴安岭
2018-01-04,2018-01-04,-9℃,-31℃,多云,北风,3-4级,26,优,1,大兴安岭
2018-01-05,2018-01-05,-12℃,-31℃,多云,西北风,3-4级,29,优,1,大兴安岭
2018-01-06,2018-01-06,-8℃,-22℃,多云,西北风,1-2级,34,优,1,大兴安岭
2018-01-07,2018-01-07,-14℃,-28℃,阵雪~多云,西北风,1-2级,37,优,1,大兴安岭
2018-01-08,2018-01-08,-12℃,-26℃,多云,北风,3-4级,58,良,2,大兴安岭
2018-01-09,2018-01-09,-18℃,-34℃,多云,北风,3-4级,51,良,2,大兴安岭
2018-01-10,2018-01-10,-20℃,-38℃,多云,西北风,4-5级,34,优,1,大兴安岭
2018-01-11,2018-01-11,-20℃,-35℃,晴~多云,西北风,1-2级,45,优,1,大兴安岭
2018-01-12,2018-01-12,-19℃,-38℃,多云,西北风,1-2级,52,良,2,大兴安岭
2018-01-13,2018-01-13,-20℃,-26℃,阵雪,西风,3-4级,79,良,2,大兴安岭
2018-01-14,2018-01-14,-13℃,-30℃,多云,北风,3-4级,136,轻度污染,3,大兴安岭
2018-01-15,2018-01-15,-19℃,-34℃,多云,西风,3-4级,84,良,2,大兴安岭
2018-01-16,2018-01-16,-17℃,-32℃,多云,西北风,3-4级,72,良,2,大兴安岭
2018-01-17,2018-01-17,-24℃,-38℃,多云,西北风,3-4级,114,轻度污染,3,大兴安岭
2018-01-18,2018-01-18,-18℃,-29℃,阵雪,西风,1-2级,54,良,2,大兴安岭
2018-01-19,2018-01-19,-22℃,-36℃,小雪~阵雪,西北风,3-4级,60,良,2,大兴安岭
2018-01-20,2018-01-20,-27℃,-43℃,多云,西北风,3-4级,31,优,1,大兴安岭
2018-01-21,2018-01-21,-30℃,-41℃,多云,西北风,3-4级,26,优,1,大兴安岭
2018-01-22,2018-01-22,-30℃,-42℃,多云,西北风,3-4级,34,优,1,大兴安岭
2018-01-23,2018-01-23,-25℃,-45℃,多云,西北风,3-4级,50,优,1,大兴安岭
2018-01-24,2018-01-24,-27℃,-45℃,多云,西北风,3-4级,55,良,2,大兴安岭
2018-01-25,2018-01-25,-24℃,-35℃,多云,西北风,3-4级,37,优,1,大兴安岭
2018-01-26,2018-01-26,-25℃,-44℃,晴~多云,西北风,3-4级,28,优,1,大兴安岭
2018-01-27,2018-01-27,-19℃,-37℃,多云,西北风,3-4级,27,优,1,大兴安岭
2018-01-28,2018-01-28,-21℃,-42℃,多云~晴,西北风,3-4级,30,优,1,大兴安岭
2018-01-29,2018-01-29,-17℃,-38℃,多云,西北风,3-4级,42,优,1,大兴安岭
2018-01-30,2018-01-30,-15℃,-35℃,多云,西北风,3-4级,50,优,1,大兴安岭
2018-01-31,2018-01-31,-15℃,-34℃,多云~晴,西北风,3-4级,63,良,2,大兴安岭
2018-01-06,2018-01-06,-19,-34,,,,,,,
2018-01-23,2018-01-23,,,,,,,,,
2018-01-01,2018-01-01,-14℃,-18℃,阵雪~阴,东北风,1-2级,32,优,1,黑河
2018-01-02,2018-01-02,-11℃,-21℃,阵雪~多云,西北风,1-2级,25,优,1,黑河
2018-01-03,2018-01-03,-10℃,-19℃,多云~晴,西北风,1-2级,26,优,1,黑河
2018-01-04,2018-01-04,-9℃,-20℃,晴,西北风,1-2级,31,优,1,黑河
2018-01-05,2018-01-05,-10℃,-20℃,多云,西北风,1-2级,34,优,1,黑河
